Metric,Value
test_loss_0,0.15881316363811493
test_loss,0.15881316363811493
test_accuracy,0.9644323587417603
test_f1_score,0.9819735288619995
test_precision,0.9649533033370972
test_recall,0.9994624257087708
test_auroc,0.638906717300415
TN,3223.0
FP,195655.0
FN,2974.0
TP,5382686.0
avg_inf_time,0.00048289437833980945
training_time,33004.12662768364
