Metric,Value
test_loss_0,0.23418578505516052
test_loss,0.23418578505516052
test_accuracy,0.9160630106925964
test_f1_score,0.7805262804031372
test_precision,0.6975318789482117
test_recall,0.8904736638069153
test_auroc,0.9536994099617004
TN,2484620.0
FP,212322.0
FN,60187.0
TP,489460.0
avg_inf_time,3.945497096371137e-05
training_time,2264.4567165374756
