Metric,Value
test_loss_0,0.0005632888642139733
test_loss,0.0005632888642139733
test_accuracy,0.9999781250953674
test_f1_score,0.9999333024024963
test_precision,0.9998689293861389
test_recall,1.0
test_confusion_matrix,255.999755859375
test_auroc,0.9999892115592957
TN,tensor(2696871)
FP,tensor(71)
FN,tensor(0)
TP,tensor(549647)
avg_inf_time,0.00014146180428954605
