Metric,Value
test_loss_0,0.07568012923002243
test_loss,0.07568012923002243
test_accuracy,0.9801773428916931
test_f1_score,0.9423756003379822
test_precision,0.9184955358505249
test_recall,0.9688253402709961
test_auroc,0.9951570630073547
TN,2649704.0
FP,47238.0
FN,17118.0
TP,532529.0
avg_inf_time,0.00014686448365192536
training_time,7235.887802362442
