Metric,Value
test_loss_0,0.009217008017003536
test_loss,0.009217008017003536
test_accuracy,0.9999169111251831
test_f1_score,0.9999582767486572
test_precision,0.9999235272407532
test_recall,0.9999927282333374
test_auroc,0.9982796311378479
TN,198454.0
FP,424.0
FN,40.0
TP,5385620.0
avg_inf_time,5.784135680835645e-05
training_time,3749.520919561386
